day_of_year,slope
1,-0.42554409230477697
2,-0.4774845682638336
3,-0.05912635698967364
4,-0.3167544864468511
5,-0.6411177493356471
6,-0.3532914197166743
7,-0.06647535923995025
9,-0.260692420999731
10,-0.2771784112641761
11,-0.2022971916533538
12,-0.4268435019059775
15,-0.2563280213895105
16,-0.2743723654643242
17,-0.4737400766672791
30,-0.1945576848565717
31,-0.36011836626395255
34,0.00741386719381462
35,-0.2924649455929018
36,-0.39619478056077767
37,-0.18072363575717273
39,-0.1418683785867999
41,-0.15011637759649488
42,-0.20924019391616516
43,-0.4621492915650967
45,-0.056884583625803106
49,-0.2087848275667283
51,-0.2573071963431819
52,-0.4048201536601499
53,0.029868228794029276
54,-0.1561396647442738
55,-0.14523467595119952
56,0.008113310799040601
60,-0.0869427478388405
61,-0.2140916245388369
64,-0.020755737413551016
65,-0.05334977942384615
69,-0.2522478708472726
73,-0.031731709913315774
76,-0.1747193482029607
79,0.03802383102305161
81,-0.09394651669255766
82,-0.3282192875310166
85,0.00428103998437002
86,-0.159169155250964
87,-0.09103902311459608
89,-0.031164498922264916
90,0.012860830022066165
91,0.237050327855758
92,-0.03822014047385876
93,-0.19034058204833493
94,-0.052319526104898456
103,0.2720181276432178
107,-0.10116499863921137
108,-0.12331885944267507
109,-0.17439527841368296
111,0.1282531645503687
113,0.046204257715281395
114,-0.07591474872645856
119,-0.15453228806910405
120,-0.007445917604107624
123,-0.07336348374019276
124,-0.1516809956738383
126,-0.18009842037923834
127,-0.09016675211881711
130,-0.16097958640109275
131,-0.13457877184952138
132,-0.007705837903692823
133,-0.013200515173019324
134,0.027428604653763292
136,-0.016596090263694973
137,-0.10332562392144894
139,-0.04287883927367146
140,-0.014834253465609864
141,0.07220992304764827
142,0.05683617061025565
147,0.022924078748589517
148,0.036731365187102676
149,-0.01549541176041398
150,-0.23156606571835234
151,0.21572460210391456
152,-0.05598030978128703
153,-0.143169483755405
154,-0.057395657774557275
156,-0.04846107331944682
157,-0.033773490499879405
161,0.07760482102871999
162,-0.15789864122256622
163,0.07996284929519028
164,-0.25295402043427323
168,-0.13602245275727037
169,-0.2710499070902398
172,-0.0043852957389656855
176,0.024281977663992215
178,-0.03710011764265456
191,-0.16751146974862124
192,-0.20695695894781002
209,-0.237036808345882
214,-0.13168430023917305
233,-0.45855738677134844
234,-0.13815717651593962
235,-0.2954770351184465
236,-0.13997009115946546
237,-0.03846680541498733
238,-0.07928686915753243
239,-0.16731875996046458
241,-0.44894397921654117
247,-0.2991465144976385
263,-0.13216906028905895
264,0.09916896244776409
271,-0.2150911037260166
301,-0.10409569628104645
302,-0.22308734494950352
303,-0.5191297438504904
304,-0.14653917989849632
305,-0.31389636162940737
306,-0.3017152913284548
307,-0.263898219767262
308,-0.130047801079494
309,-0.3085630264073439
310,-0.257909020571449
311,-0.26244254252180205
312,-0.18921052516255804
313,-0.39975516297174163
314,-0.508356246374385
315,-0.37600848265670483
316,-0.4090193261132145
317,-0.4819231191177199
318,-0.4028474279726024
319,-0.25128004254575326
322,-0.44314496888689087
323,-0.2523198269260747
330,-0.2500425637895182
331,-0.521598073073807
332,-0.3416827656391976
333,-0.39180991201640414
334,-0.38414491364840325
336,-0.3852970772560385
337,-0.5050994330453331
339,-0.5387737584962734
340,-0.40290641856751924
344,-0.18500275196020893
345,-0.4202032136678499
346,-0.1601056676491171
350,-0.22110305924355436
353,-0.37820850355642266
354,-0.35174038743814345
357,-0.3247912237860595
1,-0.192094293227144
2,-0.2201634801952292
4,-0.33061716381526995
5,-0.15254717726478884
7,-0.2304659796607089
9,-0.4420292256079631
10,-0.380027343571371
17,-0.1159357182966171
20,-0.40231501298519723
21,0.05806217528211731
24,-0.35105020638871737
25,-0.2152762860101079
27,-0.06548513768740434
29,-0.31033553534627123
30,-0.23852472076690842
34,-0.09067089206214383
35,-0.26233573921449965
36,-0.3034673196522984
37,0.09341088400396436
38,0.1666570685259389
39,-0.36624021540345053
40,-0.12207229427604192
41,-0.24164400291955598
42,-0.10877208135242658
43,-0.19777808276655284
44,-0.28233961700853727
45,-0.08910627487434743
46,0.05947382314711182
49,-0.16468321101454653
50,-0.07590421589386441
53,-0.22709296932708115
56,-0.1471095631139774
57,-0.32689556928755614
60,-0.15137125523690767
61,-0.0789086650862888
62,-0.18834471690588558
63,-0.2771724890294931
64,-0.24632810439632194
65,-0.2080608532300671
69,-0.022308380007987915
70,-0.10956498532375224
71,-0.08118015507413133
72,-0.22080670709608002
73,-0.10910340451039506
74,-0.07819680702176313
75,-0.20289802433774282
76,-0.06674888554458264
77,-0.21285565971185522
79,-0.2499865144525946
80,-0.18850691229436878
81,0.16798824052349556
82,-0.11277915624205263
83,-0.18869575583036444
89,-0.1467248328390983
90,-0.14244826094998497
91,-0.38498935575525567
92,0.04151938800729942
93,-0.030234458336393735
94,-0.2084908634629412
96,-0.3249828343328111
97,0.049361909069072625
98,-0.06494496598390305
99,-0.032210538446755074
100,-0.1602708750402261
101,-0.329229045420353
103,-0.15097066032112264
104,0.014829148712824931
106,-0.0892174828284156
107,-0.16996592897604915
108,0.05074094297938144
110,-0.26080608350250756
111,-0.09358987850099246
112,-0.35266297234850125
113,-0.1284267332849098
114,-0.15681148906702336
115,0.032397782434812804
117,-0.06778414415555972
118,0.019099831273044862
119,-0.09855831548969501
120,-0.29074313369283666
121,-0.017580299714400446
122,-0.19463245110128982
133,-0.02669059614509175
134,0.10541922097883677
135,-0.19760981634770958
136,0.17644056134806388
137,-0.1164597196617273
138,-0.14450163593327459
139,0.01010543100510099
140,-0.05122026815234513
141,-0.002612799355037355
142,-0.17953700618903262
143,-0.06351171037409946
144,-0.03153600543511264
145,0.010662177854463242
146,-0.02332031167105315
147,-0.02460802694297261
149,-0.17901685765902112
150,-0.015280939159063135
151,-0.162165538160736
152,-0.00160427830668925
153,-0.103262711221028
154,-0.054145892306469275
155,-0.02882738744037104
156,-0.17652544332903441
157,0.03748243949377672
159,-0.23890224471546515
160,-0.16867788105271042
339,-0.31833177876512586
340,-0.3084786740224531
341,-0.5276149643003127
342,-0.4239174090819824
343,-0.4457769304517058
344,-0.18946192733151165
348,-0.5714689126445149
349,-0.459828693571483
350,-0.26785137036731405
351,-0.551817522320971
353,-0.20359264307558667
355,-0.24587043455435442
357,-0.26707137694916744
359,-0.48959082897503503
360,-0.5201339100614719
3,-0.3349288851174597
4,-0.27581427273428666
7,-0.27558435921334273
9,-0.5141817946797801
19,-0.4073457846001873
20,-0.51056882295045
21,-0.36863449691804606
22,-0.34090631161268126
23,-0.39800519333024137
24,-0.32073114643211104
25,-0.19613907732396132
26,-0.20644370329328166
27,-0.18634679384158065
28,-0.3069631253845459
29,-0.25575194887833663
30,-0.13210759243614803
33,0.03019866133444472
35,-0.3660475180442375
62,-0.2048263708508484
63,-0.006393517393338609
67,-0.1891835511659306
68,-0.33612292579802
72,-0.2689502734418056
91,0.06786156547558916
92,0.017039744512513298
93,-0.1604391744034729
94,-0.24127028642976828
96,-0.2223862301611184
98,-0.06783547218616617
99,-0.02034892349122431
100,-0.19327774044881108
103,-0.25718615077290896
104,-0.04026333451765809
105,-0.14634509873055543
106,-0.1877736476499857
107,-0.023377912083360926
108,-0.14850095900116822
109,-0.3755935809100647
110,-0.1319118119169774
111,-0.29090632890137885
112,-0.14250068324366982
113,-0.0055053417122683185
114,-0.3209117207384484
115,-0.11725071774006834
116,-0.19290409600688874
117,-0.27523409355580075
118,-0.05081630357761527
119,0.02074972009904871
122,-0.25570682531274236
123,-0.007040855477625807
124,-0.0032498359795621896
125,-0.08721143110158354
126,-0.0846201761019188
127,-0.18688123949755275
128,-0.11064435653050343
129,-0.11244281842687649
130,-0.2748378806124195
131,-0.17788473014667003
132,-0.10357069776285863
133,-0.20492515147545157
134,-0.03563625042472199
135,-0.2913280265390342
140,-0.07837208102517496
141,0.08906915967795974
142,-0.12483308912342454
143,-0.1955937079304296
144,0.024425088289468898
145,-0.22736883862075138
146,0.16022454687495272
147,-0.14229824880262423
148,-0.24245578575856247
149,-0.27967809468192745
150,-0.11736676197069304
151,-0.12477410592696213
153,-0.0655737346716731
154,-0.01882857984246342
155,-0.15229510428661425
157,-0.1045035068119028
158,-0.05312715483531019
160,-0.07457021734055559
161,-0.0823676647884913
162,-0.32292571209529763
163,-0.36627679102979344
164,-0.19269806567361558
165,-0.11290780838716984
166,-0.14347954916758
167,-0.18215929664782607
168,-0.5145389635144778
170,-0.026910867852722686
171,-0.2136075944867553
173,0.02776531038870957
174,-0.22934349227935721
175,-0.22575474303823886
178,-0.1924507949273774
179,-0.24041983380680892
180,-0.1270699599522666
181,-0.13023877447694596
182,-0.19115005521155748
183,-0.3099918938959076
184,0.03537417151721538
185,-0.18905532449661822
186,-0.15411596655946574
187,-0.11610996613487777
188,-0.2263507950449166
189,-0.20549123297566452
200,-0.38861472516233375
202,0.07124706360133078
203,-0.4017545847298068
205,-0.03412592468281926
208,-0.10284264224526263
211,-0.5008254829443681
212,-0.2410746982620636
214,-0.15330890241474107
215,-0.25029830988373264
216,-0.13509962011383114
217,-0.21636075868673793
218,-0.013450047428456645
224,-0.08684619938243612
226,-0.06485340890431278
229,-0.2359943916055209
234,-0.23599342179580243
238,-0.10673546636987616
239,-0.33643467673161004
240,-0.20875800455979054
241,-0.36296393617393774
242,-0.41421759843289213
246,-0.12417101614871229
248,-0.37020143075609035
249,-0.05973333695409366
250,-0.156674487535889
252,-0.4771851541898233
288,-0.26311802892452757
289,-0.315087223728467
291,-0.11804974764050305
292,-0.1641441021687501
293,-0.34433121152089446
294,-0.026779703867603758
295,-0.32381067545188236
296,-0.22792275800495349
299,-0.24087589815146881
300,-0.09197755788964489
301,-0.12705525794605857
303,-0.363664992344195
304,-0.19480595023952157
305,-0.26920850805648505
306,-0.1933765491201317
307,-0.17117192057346256
308,-0.19865709462842107
309,-0.25077562365821754
310,-0.14123047269013697
311,-0.40279430125586074
312,-0.24163934989314398
313,-0.22069690525899804
314,-0.3321392741438947
315,-0.22929624623673106
316,-0.20779051133423057
317,-0.3360058499895734
323,-0.18335384992517628
324,-0.23435979676111457
325,-0.04691238755547315
326,-0.25252212289754156
333,-0.24248144522257695
336,-0.33729600347850824
337,-0.19898467135028183
340,-0.6906962219867064
341,-0.4662595173064927
342,-0.30477638133694424
343,-0.4785725629230552
344,-0.33328340194476985
346,-0.16516345727305837
348,-0.2581621127963652
349,-0.3255554578338429
351,-0.2923958630156093
358,-0.4815386717500339
359,-0.41562000558500584
360,-0.27818350977681217
362,-0.37291726666711783
363,-0.6126995551518535
364,-0.5870901002901415
3,-0.1756907690178522
5,-0.03562056728064522
6,-0.32997076594584673
8,-0.23848720896220488
9,-0.16567456350743073
10,-0.3687491972948383
12,-0.2695239597153607
13,-0.3629669887389604
14,-0.2593089208845149
15,-0.34761511432170505
16,-0.4342054485658407
17,-0.21715744050247918
18,-0.11876880797180328
26,-0.32956879779658066
27,-0.29497568656806916
31,-0.5317477330840192
32,-0.24892725953509914
34,-0.10662942861443324
35,-0.27603288383225844
42,-0.317318058911634
43,-0.24899853889408974
44,-0.31312697217210184
45,-0.34930331803324227
46,-0.04371129091924922
47,-0.030980993936307374
48,-0.1215386520400429
49,-0.09480190583836859
51,-0.08338203314235752
61,-0.21334370004161307
62,-0.1909493894388746
63,-0.12761785634770106
64,-0.15673803873309805
70,-0.17619373668468333
78,-0.0792699864302111
79,-0.19485988714236482
81,-0.14410153802891112
87,-0.08478520345241475
89,-0.08803461381901188
94,-0.0799535825623631
95,0.03027202943630001
96,-0.1737745045702369
97,-0.2525403621368774
98,-0.08021870195701554
101,-0.14648903560703333
102,-0.03586054653971862
103,-0.16655880168926723
105,-0.05787646237748052
106,0.04430888827920805
110,-0.05644025278457015
113,-0.2902132174642796
114,-0.035723990096820424
117,-0.014152475009837667
119,-0.27519820135776196
120,-0.3238868117934183
121,-0.15100559673376712
122,-0.08276194558797953
123,-0.017343584200488073
124,-0.06339394329909435
125,-0.06701282478879919
126,-0.12826872189432978
127,-0.15397050394809417
128,-0.14880119770945283
129,-0.3431998357995166
130,0.015371447532604136
131,-0.1505939200071119
132,-0.05037474239978973
133,-0.04653709101812678
134,-0.15773834958869998
135,-0.0725750612500385
136,-0.17927277891145332
138,-0.15631110089711528
139,-0.07303893310405299
140,-0.11960409092567974
142,0.08782642993846904
143,0.12345189695721473
144,-0.05719078034456947
145,-0.10168441703883827
146,0.13277176050764483
147,-0.009051686697927499
148,0.05611980459641223
149,-0.007392284887760103
150,0.07628597585590481
152,0.2002531206667252
153,-0.021530401494474005
155,0.21212290566946537
157,-0.13954492389382567
164,-0.09721990626086967
166,-0.18683210043964993
167,0.017092921434380636
168,0.222202399611613
169,-0.1364319440693538
170,-0.0903251064322894
171,-0.26631289266673497
179,-0.3764320281331881
180,-0.22643573636367756
