order,slope
157,-0.012170293218782928
156,-0.013427290871030515
155,-0.015561143268441808
154,-0.012332148552919489
153,-0.009026571000478368
152,-0.011346808881997728
151,-0.010956759515823047
150,-0.010334859872856738
149,-0.007983591758593067
148,-0.00998954246256227
147,-0.00963984887543309
146,-0.008891211262184241
145,-0.008916772053006504
144,-0.007607730934625121
143,-0.009443147524449955
142,-0.008456448896053355
141,-0.009327195737361741
140,-0.008948603276217647
139,-0.010091159774989242
138,-0.008889262470634918
137,-0.007252280429539318
136,-0.007109142964069813
135,-0.007430216232168416
134,-0.00680816710733541
133,-0.007634079978542235
132,-0.007415437846600773
131,-0.007014245089752607
130,-0.006996445009679251
129,-0.005798106167040275
128,-0.005228938480748988
127,-0.006864613953441875
126,-0.005789276411466417
125,-0.0063864791306779654
124,-0.004941046837572616
123,-0.006844230745608306
122,-0.004742612423404879
121,-0.006148457905018285
120,-0.005085808677238686
119,-0.004043001830041707
118,-0.004268263142506803
117,-0.003961818412192085
116,-0.006082390452053901
115,-0.004885644206854313
114,-0.00646161430611322
113,-0.005394726925639362
112,-0.00939463793187805
111,-0.006111876604646864
110,-0.004254780145727471
109,-0.005575564327528366
108,-0.008897408120902233
107,-0.009787116288164591
106,-0.0006997605091747456
105,-0.011347030431563621
102,-0.008035995072891084
101,-0.000855439705382147
100,-0.0029597973329037203
99,-0.004217360723813183
98,-0.005235970922360446
97,24.505219730394106
96,-0.016053262235817906
92,0.005663639351200596
91,0.0019579550963347747
90,0.014102185823395324
83,-0.009547914866658945
82,0.007517573034187164
81,-9.844264582186046e-5
79,-0.009322309369654683
78,-0.008571960577861523
77,0.011102209083748635
76,-0.0008038157393178524
73,-0.03878974736723458
71,-0.016008163560655528
70,0.0011125650696498857
68,-3.243461155169658
67,2.805863909054206
66,-11.40627367422286
64,-3.1206853408444664
63,-3.948614757174144
