num_features,rms_rv_dcpca_run1,rms_rv_dcpca_run2,rms_rv_fiesta_run1,rms_rv_fiesta_run2,rms_rv_dcgha_run1,rms_rv_scalpels_run1
1,1.5335775310876298,1.30793183800472,2.2896833413554334,2.013566881873176,1.3943638905812479,1.296382260221472
2,1.4949543673373482,1.3574172082595692,1.8376082463737635,1.138425126634396,1.4439752561543882,1.1294477982868003
3,1.5905206032322514,1.4606278562660235,1.7197320211651104,1.2000049910556925,1.450962550576608,1.0840153654034004
4,1.5790738145235659,1.4953411047212213,1.2639905573513748,1.0575001703621822,1.4633815795203395,0.745064868894578
5,1.4936304280328463,1.3553859959663992,1.189288188410021,1.0188447331398467,1.1478029048401386,0.741719039697233
6,1.3750469522519722,1.2900446563251124,1.0644420320003167,0.9635867577763781,1.1473346972995695,0.6978578567975608
7,1.2742225761008816,1.2801197684065155,1.068016098774995,0.9743595857740556,1.1332388041399437,0.722927621136074
8,1.2142174236095777,1.1625342656666897,1.0526004220465703,0.983679213050233,1.0994268554320474,0.7149073706493271
9,1.1143510809306658,1.1716168900953523,1.0536491105609427,0.9903125853836509,1.1011894969540232,0.48527460684759455
10,1.1220693478374109,1.165416401987111,1.0262641141125446,0.984732415730495,1.1000236236748833,0.4798491671422504
11,1.1215363559480434,1.1578125136728443,1.026264114221146,0.9847324154273668,1.0906477810746693,0.46334635395096097
12,1.1183744411639829,1.1585476743368976,1.0054712842853932,0.9582683448603228,1.0903442441376436,0.46431804537440147
13,1.1282496404205045,1.159866860475436,0.9575072790558798,0.9315212225074145,1.0967854056247917,0.46431543370654865
14,1.1447841981090026,1.1463072509850538,0.9202886421218051,0.8923326796505939,1.0950885455447863,0.39266113953553444
