num_features,rms_rv_dcpca,rms_rv_fiesta,rms_rv_dcgha,rms_rv_scalpels
1,1.7120932886540303,1.6494976511056176,1.6712400986269398,1.625393594922517
2,1.6438750485798628,1.644353485553559,1.6682936260284773,1.129286170365555
3,1.5831811081133085,1.4697772347423372,1.6660567371873003,1.0939564530871742
4,1.5358559416982112,1.0315917483521673,1.6655272656066078,0.7649573194260912
5,1.524675996742667,0.9814970923458746,1.272380479235557,0.7560033519415543
6,1.44132933992654,0.914684873873428,1.2624386536151415,0.7157743716772056
7,1.390587722855262,0.9146795789712481,1.2611578888817543,0.6342380123607329
8,1.2088068340873357,0.8974515696679884,1.2132651658878897,0.46454693121317353
9,1.2054497660127976,0.8968623873217532,1.2038429445933019,0.37209780053475183
10,1.2015184251690771,0.8804777376455523,1.1829749284259168,0.3715799197924904
11,1.1846623064609383,0.8804777376467514,1.182388900578795,0.37041605142758677
12,1.1716148987037578,0.8591815401240522,1.1597203362692816,0.35221383456842104
13,1.1705211451002935,0.8351558630640382,1.1597102349872563,0.3504346844895532
14,1.1667371201475283,0.8062195599980921,1.1556235281293097,0.34929768735253763
